"filename", "language", "JSON", "JavaScript", "Batch", "TypeScript", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\35386\Desktop\bookings\Bookings\README.md", "Markdown", 0, 0, 0, 0, -97, 0, 0, 0, -17, -114
"c:\Users\35386\Desktop\bookings\Bookings\server\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\35386\Desktop\bookings\Bookings\server\package-lock.json", "JSON", -816, 0, 0, 0, 0, 0, 0, 0, -1, -817
"c:\Users\35386\Desktop\bookings\Bookings\server\package.json", "JSON", -14, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\35386\Desktop\bookings\Bookings\start-app.bat", "Batch", 0, 0, -2, 0, 0, 0, 0, -3, -2, -7
"c:\Users\35386\Desktop\bookings\Bookings\web-client\README.md", "Markdown", 0, 0, 0, 0, -45, 0, 0, 0, -10, -55
"c:\Users\35386\Desktop\bookings\Bookings\web-client\components.json", "JSON", -21, 0, 0, 0, 0, 0, 0, 0, 0, -21
"c:\Users\35386\Desktop\bookings\Bookings\web-client\eslint.config.js", "JavaScript", 0, -27, 0, 0, 0, 0, 0, 0, -2, -29
"c:\Users\35386\Desktop\bookings\Bookings\web-client\index.html", "HTML", 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"c:\Users\35386\Desktop\bookings\Bookings\web-client\package-lock.json", "JSON", -4674, 0, 0, 0, 0, 0, 0, 0, -1, -4675
"c:\Users\35386\Desktop\bookings\Bookings\web-client\package.json", "JSON", -49, 0, 0, 0, 0, 0, 0, 0, -1, -50
"c:\Users\35386\Desktop\bookings\Bookings\web-client\tsconfig.app.json", "JSON", -29, 0, 0, 0, 0, 0, 0, -3, -3, -35
"c:\Users\35386\Desktop\bookings\Bookings\web-client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\35386\Desktop\bookings\Bookings\web-client\tsconfig.node.json", "JSON", -20, 0, 0, 0, 0, 0, 0, -2, -3, -25
"c:\Users\35386\Desktop\bookings\Bookings\web-client\vercel.json", "JSON", -5, 0, 0, 0, 0, 0, 0, 0, 0, -5
"c:\Users\35386\Desktop\bookings\Bookings\web-client\vite.config.ts", "TypeScript", 0, 0, 0, -15, 0, 0, 0, -1, -1, -17
"Total", "-", -5628, -27, -2, -15, -142, -13, -13, -9, -45, -5894
